BGGId,Rating,Username
325830,6.0,william4192
325830,5.0,TomVasel
325830,4.0,oldgoat3769967
325830,3.0,rseater
303544,7.5,william4192
305564,7.0,OGRussHood
226358,8.0,fake
226358,6.0,TomVasel
226358,5.0,oldgoat3769967
232358,6.0,Saigetsu
341779,8.0,stubby_jc
341779,7.0,fake
341779,7.0,punkin312
341779,4.0,larryjrice
232351,7.0,oldgoat3769967
232351,6.5,Adidas02
232351,5.0,Boromir1983
232351,3.0,rseater
232351,3.0,wellevorkanagawa
232351,3.0,Geeken
232351,1.0,punkin312
277671,7.0,Leonardo Innocenti
277671,7.0,carontissimo
277671,5.0,sciacca77
232385,9.0,Ludobus
232385,7.0,fake
232385,7.0,PzVIE
232385,5.0,gimli043
232385,5.0,oldgoat3769967
303552,6.0,rseater
277410,6.0,Slevin678
277410,5.0,cactusse
277424,7.0,fake
277424,6.0,TomVasel
277424,6.0,thetba
277424,5.0,AngryRedhead
194819,6.0,Belevoix
194819,5.5,brasidas69
341583,9.0,superbini
341583,6.0,Motorkopf
341583,6.0,jmdsplotter
277481,6.0,fake
232412,4.0,DeviantMagick
309341,9.0,Florian Sohns
309341,9.0,fake
309341,5.0,Poor Yorick
275349,8.0,Jofarin
275349,6.5,softfairy
275349,4.0,himokl
275349,3.0,Geeken
184337,6.6,Walt Mulder
184337,5.0,Yacoff
184337,3.0,himokl
275703,6.0,fake
341427,7.0,pietlavens
341427,6.5,Hessu68
341427,6.0,juuzzom
275715,8.0,Kweevnidny
275715,6.0,JimF
304983,8.0,ferradales
304983,8.0,brainiac122
304987,7.0,despelletjesvrienden
319223,9.0,oldgoat3769967
319223,7.9,RodgeRabbit
319223,6.0,breakmanynecks
319223,5.0,OGRussHood
275085,6.5,Florian Sohns
275085,4.0,TomVasel
275085,3.0,oldgoat3769967
309545,10.0,rseater
309545,9.5,DaMilli
309545,6.0,eddy_sterckx
349131,7.0,BebryGamez
349131,7.0,sofriedrich
349131,7.0,Florian Sohns
349131,5.0,akapastorguy
349131,4.0,fizzle
349131,3.0,larryjrice
219374,7.0,fake
219374,6.0,DerSchroeder
219374,6.0,kathuna
219374,5.0,Hessu68
219374,5.0,banz
319295,6.0,punkin312
319295,5.0,Justinschaffer
319295,4.8,william4192
276264,6.0,htwongah
184477,8.0,rayzg
184477,8.0,kathuna
184477,7.0,ddash
184477,7.0,Shakar
276459,8.0,fake
276459,7.0,DerSchroeder
276459,7.0,Pfluftl
276459,7.0,kiwols
276459,7.0,kathuna
276459,6.0,jogosdomundo
276459,5.0,hauwech
276459,4.0,Kether1983
276459,2.0,Cervantez
304666,7.0,HilkMAN
275857,8.0,ddash
275857,7.0,oldgoat3769967
275857,5.5,Hessu68
219410,8.0,Ludobus
219410,7.0,fake
219410,6.5,Hessu68
219410,6.0,DerSchroeder
219410,6.0,oskari
219410,6.0,Handballer
219410,6.0,kathuna
219410,4.0,Kether1983
232874,7.0,Saxophonist
232874,7.0,Mobby
232874,6.0,Hessu68
232874,6.0,kiwols
232874,4.0,Camponotus
232874,4.0,Kosmonaut
232874,4.0,barber
232874,4.0,kystas
277980,6.0,Boromir1983
280856,7.5,punkin312
280856,7.001,OGRussHood
302421,5.5,jmdsplotter
280897,6.5,Reuner
342016,8.0,stubby_jc
342016,7.0,Abiteacher
342016,6.5,SeanXor
342016,5.0,larryjrice
342016,5.0,punkin312
280999,8.0,Arkobla Conn
280999,8.0,corporal bloggins
280999,7.2,Walt Mulder
280999,7.0,mjmelen
280999,7.0,dduhamel1
280999,5.0,Pete Atack
302316,7.8,Leonardo Innocenti
347146,8.0,HilkMAN
347146,6.0,Peerchen
347146,6.0,nicfatto
347146,6.0,Hessu68
281245,6.2,Tudwell
281245,5.0,punkin312
194034,7.0,TomVasel
194034,7.0,oldgoat3769967
194034,6.0,kathuna
194034,4.0,william4192
302463,7.0,punkin312
302463,7.0,TomVasel
220234,8.0,ArtfulDodger
220234,4.0,fake
280729,9.0,Molly may
280729,7.0,marcocim
280729,6.0,Gareth00Simon
280742,5.0,oceanodeuegos
325679,7.0,HilkMAN
184922,1.0,OGRussHood
325678,9.0,kiwols
319593,6.5,Hessu68
319593,6.0,Zbylut
226529,6.0,ShepWRISTS
226529,3.0,Inconmon
309081,9.0,marcocim
309081,9.0,hannon
309081,8.0,lroces1969
309081,7.8,Walt Mulder
309081,7.5,Pete Atack
309081,7.0,gohrns
319600,7.0,saba2
319600,7.0,ifalunch
319600,6.66,Geeken
319600,6.0,ddash
194075,8.0,kiwols
194075,6.0,jogosdomundo
194075,5.5,roptro
220226,6.0,OGRussHood
220226,4.0,DeviantMagick
220226,3.0,richa283
281257,8.0,Boromir1983
185244,6.0,Slevin678
185244,5.0,crimescene
185246,5.0,Yacoff
302269,8.0,Ottawa_Sens
302269,5.0,rseater
308762,9.77,OGRussHood
308762,4.5,hyc4089
302268,8.0,Ottawa_Sens
282080,3.0,fibobs
220406,3.0,Shakar
220440,8.0,fiorevita
220440,7.0,Walt Mulder
220440,6.5,Nap16
220440,1.0,Inconmon
193792,8.0,smacphee
193792,7.5,athos
193792,7.0,FRANCONY robin
193792,7.0,Gareth00Simon
193792,7.0,Noel Wright
225909,9.0,marcocim
225909,9.0,Molly may
225909,8.0,pierfederico
225909,8.0,MAAL
225909,8.0,Rikmaster
225909,8.0,phersu
225909,7.0,WildChild82
225909,5.0,breakmanynecks
281945,9.0,oldgoat3769967
281945,7.4,Walt Mulder
281477,7.0,Nap16
281477,7.0,Walt Mulder
281477,6.0,Molly may
281477,6.0,oldgoat3769967
194033,6.0,TomVasel
194033,6.0,crimescene
194033,6.0,kathuna
194033,3.0,Squeezel
194033,2.0,oldgoat3769967
221208,7.0,Pola
221208,7.0,dontylw
221208,6.5,SeanXor
221208,6.5,Abiteacher
221208,4.0,akapastorguy
308870,7.0,Boromir1983
308870,4.0,TomVasel
185195,5.0,Yacoff
185195,5.0,Boromir1983
185195,4.0,oldgoat3769967
185195,3.0,TomVasel
281457,4.0,OGRussHood
281457,1.0,larryjrice
281919,7.0,Ludobus
281919,7.0,kiwols
281619,8.0,larryjrice
281619,7.0,HilkMAN
281619,7.0,punkin312
281619,6.5,jmdsplotter
185228,8.0,TomVasel
226013,9.0,fake
