25821,The Werewolves of Miller's Hollow,1.3166,8,18,9.595238095238095, '13', '14', '15', '16', '17',https://cf.geekdo-images.com/gBxf-8tL9SnYglYY7dEpJA__original/img/wnY8qstdl7kDu7pTOY72gYGzaUk=/0x0/filters:format(jpeg)/pic510856.jpg,1102,21926,21926,21926,21926,21926,21926
185380,"Exceed: Red Horizon – Satoshi, and Baelkhor",7.87178,5.64593,1.54202,3,24,7,20,10,21926,21926,21926,0,0,0,0,0
185381,"Exceed: Red Horizon – Alice, and Ulrik",7.78856,5.64159,1.53128,4,17,5,20,10,21926,21926,21926,0,0,0,0,0
307305,Bullet♥︎,2.0,1,4,11.142857142857142,206,702,31,20,10,21926,21926,21926,0,0,0,0,0
113294,Escape: The Curse of the Temple,1.4823,1,5,8.051724137931034,481,3638,678,10,10,21926,21926,21926,0,0,0,1,0
171273,FUSE,1.669,1,5,8.636363636363637,259,1679,142,10,10,21926,21926,21926,0,0,0,1,0
191925,Bandido,1.1011,1,4,6.333333333333333,43,437,89,15,10,21926,21926,21926,0,0,0,1,0
203430,Fuji Flush,1.0444,3,8,6.333333333333333,67,342,45,20,10,21926,21926,21926,0,0,0,1,0
2375,Sequence,1.3326,2,12,6.681818181818182,17,250,451,30,10,21926,21926,21926,0,0,0,1,0
244608,Menara,1.5957,1,4,6.333333333333333,253,1398,47,60,10,21926,21926,21926,0,0,0,1,0
268620,Similo,1.0577,2,8,7.4,73,626,52,15,10,21926,21926,21926,0,0,0,1,0
180543,"Exceed: Red Horizon – Reese, and Vincent",7.78656,5.73953,1.55746,5,51,14,20,10,21926,21926,21926,0,1,0,0,0
200077,Mint Works,1.6912,1,4,8.96,146,1127,136,20,10,21926,21926,21926,0,1,0,0,0
220517,The Shipwreck Arcana,2.1636,2,5,10.285714285714286,278,1548,55,30,10,21926,21926,21926,0,1,0,0,0
205597,Jump Drive,2.0444,2,4,10.0,210,1046,90,30,10,21926,21926,21926,0,1,0,1,0
1293,Boggle,1.4836,1,8,9.3125,11857,15,152,488,10,21926,21926,21926,21926,0,0,0,1
41302,First Orchard,1.0,1,4,2.111111111111111,50,229,60,10,10,21926,21926,47,0,0,0,0,0
32341,Cockroach Salad,1.1491,2,6,7.0,42,218,161,20,10,21926,263,21926,0,0,0,0,0
23142,Mag·Blast: Third Edition,1.5607,2,8,8.083333333333334,20,144,214,20,10,21926,374,21926,0,0,0,0,0
2944,Halli Galli,1.0172,2,6,5.9411764705882355,21,115,174,10,10,21926,446,295,0,0,0,0,0
5895,Hungry Hungry Hippos,1.0743,2,4,3.3214285714285716,63,175,10,10,10,21926,865,0,0,0,0,0,0
